Partido;Localidad;link Indec;Velocidad (Mbps);Provincia;Accesos
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;0;1 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;0,5;2 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;0,75;19 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;3;85 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;3,5;145 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;6;76 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;8;299 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;10;288 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;15;415 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;20;1.796 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;25;144 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;30;1.501 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;40;27 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;50;647 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;80;9 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;100;693 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;300;95 
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;500;3 
BUENOS AIRES;25 de Mayo;Agustín Mosconi;6854010;10;59 
BUENOS AIRES;25 de Mayo;Agustín Mosconi;6854010;20;5 
BUENOS AIRES;25 de Mayo;Del Valle;6854020;0,5;1 
BUENOS AIRES;25 de Mayo;Del Valle;6854020;3;181 
BUENOS AIRES;25 de Mayo;Del Valle;6854020;10;10 
BUENOS AIRES;25 de Mayo;Ernestina;6854030;5;75 
BUENOS AIRES;25 de Mayo;Gobernador Ugarte;6854040;2;106 
BUENOS AIRES;25 de Mayo;Gobernador Ugarte;6854040;3;3 
BUENOS AIRES;25 de Mayo;Gobernador Ugarte;6854040;4;56 
BUENOS AIRES;25 de Mayo;Gobernador Ugarte;6854040;5;7 
BUENOS AIRES;25 de Mayo;Gobernador Ugarte;6854040;6;3 
BUENOS AIRES;25 de Mayo;Gobernador Ugarte;6854040;8;4 
BUENOS AIRES;25 de Mayo;Gobernador Ugarte;6854040;10;1 
BUENOS AIRES;25 de Mayo;Gobernador Ugarte;6854040;65;1 
BUENOS AIRES;25 de Mayo;Lucas Monteverde;6854050;3;5 
BUENOS AIRES;25 de Mayo;Norberto de la Riestra;6854060;2;174 
BUENOS AIRES;25 de Mayo;Norberto de la Riestra;6854060;3;32 
BUENOS AIRES;25 de Mayo;Norberto de la Riestra;6854060;4;9 
BUENOS AIRES;25 de Mayo;Norberto de la Riestra;6854060;5;8 
BUENOS AIRES;25 de Mayo;Norberto de la Riestra;6854060;6;914 
BUENOS AIRES;25 de Mayo;Norberto de la Riestra;6854060;10;2 
BUENOS AIRES;25 de Mayo;Norberto de la Riestra;6854060;15;322 
BUENOS AIRES;25 de Mayo;Norberto de la Riestra;6854060;25;29 
BUENOS AIRES;25 de Mayo;Norberto de la Riestra;6854060;50;20 
BUENOS AIRES;25 de Mayo;Pedernales;6854070;6;2 
BUENOS AIRES;25 de Mayo;Pedernales;6854070;10;177 
BUENOS AIRES;25 de Mayo;Pedernales;6854070;15;3 
BUENOS AIRES;25 de Mayo;Pedernales;6854070;50;25 
BUENOS AIRES;25 de Mayo;San Enrique;6854080;20;11 
BUENOS AIRES;25 de Mayo;Valdés;6854090;10;245 
BUENOS AIRES;25 de Mayo;Valdés;6854090;20;18 
BUENOS AIRES;9 de Julio;12 de Octubre;6588030;3;11 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;0,75;9 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;3;198 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;3,5;114 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;5;154 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;6;4.824 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;7;235 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;8;98 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;10;2.669 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;15;1.239 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;20;1.144 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;30;362 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;50;631 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;100;1.843 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;300;1.068 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;500;33 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;1000;14 
BUENOS AIRES;9 de Julio;Alfredo Demarchi  (Est. Facundo Quiroga);6588010;3;510 
BUENOS AIRES;9 de Julio;Dudignac;6588040;1;8 
BUENOS AIRES;9 de Julio;Dudignac;6588040;3;36 
BUENOS AIRES;9 de Julio;Dudignac;6588040;4;247 
BUENOS AIRES;9 de Julio;Dudignac;6588040;6;46 
BUENOS AIRES;9 de Julio;Dudignac;6588040;10;52 
BUENOS AIRES;9 de Julio;Manuel B. Gonnet  (Est. French);6588060;1;1 
BUENOS AIRES;9 de Julio;Manuel B. Gonnet  (Est. French);6588060;2;193 
BUENOS AIRES;9 de Julio;Manuel B. Gonnet  (Est. French);6588060;6;1 
