Provincia,Partido,Localidad,link Indec,Velocidad (Mbps),Accesos
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,0.0,1
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,0.5,2
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,0.75,19
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,3.0,85
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,3.5,145
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,6.0,76
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,8.0,299
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,10.0,288
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,15.0,415
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,20.0,1
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,25.0,144
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,30.0,1
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,40.0,27
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,50.0,647
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,80.0,9
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,100.0,693
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,300.0,95
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,500.0,3
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,10.0,59
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,20.0,5
BUENOS AIRES,25 de Mayo,Del Valle,6854020,0.5,1
BUENOS AIRES,25 de Mayo,Del Valle,6854020,3.0,181
BUENOS AIRES,25 de Mayo,Del Valle,6854020,10.0,10
BUENOS AIRES,25 de Mayo,Ernestina,6854030,5.0,75
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,2.0,106
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,3.0,3
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,4.0,56
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,5.0,7
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,6.0,3
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,8.0,4
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,10.0,1
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,65.0,1
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,3.0,5
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,2.0,174
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,3.0,32
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,4.0,9
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,5.0,8
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,6.0,914
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,10.0,2
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,15.0,322
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,25.0,29
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,50.0,20
BUENOS AIRES,25 de Mayo,Pedernales,6854070,6.0,2
BUENOS AIRES,25 de Mayo,Pedernales,6854070,10.0,177
BUENOS AIRES,25 de Mayo,Pedernales,6854070,15.0,3
BUENOS AIRES,25 de Mayo,Pedernales,6854070,50.0,25
BUENOS AIRES,25 de Mayo,San Enrique,6854080,20.0,11
BUENOS AIRES,25 de Mayo,Valdés,6854090,10.0,245
BUENOS AIRES,25 de Mayo,Valdés,6854090,20.0,18
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,3.0,11
BUENOS AIRES,9 de Julio,9 de Julio,6588100,0.75,9
BUENOS AIRES,9 de Julio,9 de Julio,6588100,3.0,198
BUENOS AIRES,9 de Julio,9 de Julio,6588100,3.5,114
BUENOS AIRES,9 de Julio,9 de Julio,6588100,5.0,154
BUENOS AIRES,9 de Julio,9 de Julio,6588100,6.0,4
BUENOS AIRES,9 de Julio,9 de Julio,6588100,7.0,235
BUENOS AIRES,9 de Julio,9 de Julio,6588100,8.0,98
BUENOS AIRES,9 de Julio,9 de Julio,6588100,10.0,2
BUENOS AIRES,9 de Julio,9 de Julio,6588100,15.0,1
BUENOS AIRES,9 de Julio,9 de Julio,6588100,20.0,1
BUENOS AIRES,9 de Julio,9 de Julio,6588100,30.0,362
BUENOS AIRES,9 de Julio,9 de Julio,6588100,50.0,631
BUENOS AIRES,9 de Julio,9 de Julio,6588100,100.0,1
BUENOS AIRES,9 de Julio,9 de Julio,6588100,300.0,1
BUENOS AIRES,9 de Julio,9 de Julio,6588100,500.0,33
BUENOS AIRES,9 de Julio,9 de Julio,6588100,1000.0,14
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,3.0,510
BUENOS AIRES,9 de Julio,Dudignac,6588040,1.0,8
BUENOS AIRES,9 de Julio,Dudignac,6588040,3.0,36
BUENOS AIRES,9 de Julio,Dudignac,6588040,4.0,247
BUENOS AIRES,9 de Julio,Dudignac,6588040,6.0,46
BUENOS AIRES,9 de Julio,Dudignac,6588040,10.0,52
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,1.0,1
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,2.0,193
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,6.0,1
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,10.0,2
BUENOS AIRES,9 de Julio,Morea,6588080,3.0,130
BUENOS AIRES,9 de Julio,Patricios,6588110,3.0,50
BUENOS AIRES,9 de Julio,Patricios,6588110,6.0,16
BUENOS AIRES,9 de Julio,Patricios,6588110,10.0,44
BUENOS AIRES,9 de Julio,Patricios,6588110,15.0,21
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,3.0,42
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,6.0,6
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,10.0,37
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,15.0,29
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,20.0,32
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,30.0,11
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,50.0,3
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,3.0,763
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,3.5,20
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,7.0,103
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,8.0,36
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,15.0,1
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,30.0,1
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,31.0,266
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,50.0,820
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,61.0,31
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,100.0,2
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,3.0,208
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,3.0,60
BUENOS AIRES,Adolfo Alsina,Maza,6007070,0.0,10
BUENOS AIRES,Adolfo Alsina,Maza,6007070,0.5,2
BUENOS AIRES,Adolfo Alsina,Maza,6007070,5.0,386
BUENOS AIRES,Adolfo Alsina,Maza,6007070,10.0,6
BUENOS AIRES,Adolfo Alsina,Maza,6007070,20.0,2
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,20.0,1
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,35.0,26
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,50.0,31
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,0.75,3
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,3.5,147
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,8.0,447
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,10.0,122
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,12.0,1
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,15.0,1
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,30.0,44
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,50.0,1
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,4.0,632
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,7.0,7
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,8.0,28
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,10.0,45
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,15.0,5
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,4.0,46
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,3.0,12
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,4.0,2
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,0.75,2
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,2.0,1
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,3.5,40
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,5.0,1
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,8.0,116
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,15.0,302
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,100.0,1
BUENOS AIRES,Alberti,Coronel Seguí,6021020,15.0,5
BUENOS AIRES,Alberti,Mechita,6021030,3.0,275
